67.7  31.5;8.27;509;32.
-8.2 152.;372.;197;32.
-29.1 352.2;294.;211;33.
-48.1  10.;292.;211;33.
-0.7 152.4;362.;200;33.
-74.7 225.6;300.;211;34.
38.2 251.1;1;1;34.
-26.9 342.1;1;1;35.
-49.7 329.6;0.50;499;35.
-30.2 311.;13.64;462;35.
29.7 229.7;47.7;338;35.
-5.9 187.1;1;1;35.
-11.5 127.9;168.;249;36.
-32.8 225.2;20.;420;36.
50.3  48.;13.79;463;36.
-33.8 152.7;135.;265;38.
17.3 217.9;40.;350;39.
-25.2 223.5;845.;170;40.
-28.3 231.7;79.;307;40.
60.9 143.4;436.;200;40.
22.8 240.4;15.;450;41.
-19.1   2.6;361.;211;41.
64.1 202.3;4258.;115;42.
-43.3 239.3;370.;211;42.
19.7 122.3;2630.;130;43.
62.9 122.5;137.;272;43.
24.6 335.6;389.;211;44.
38.7 131.9;297.24;226;44.
44.3 347.8;413.;200;45.
-19.4  82.6;149.;272;46.
-5.3 132.;53.;354;47.
22.5 219.8;50.;350;48.
-6.5 276.1;359.;223;50.
22.   75.;548.;200;50.
31.7 149.3;3399.;128;52.
35.7 321.7;167.;200;52.
-11.8   7.2;601.;200;55.
37.9  87.6;420.;220;56.
30.5 221.8;40.;391;56.
-36.4 151.8;214.;264;59.
11.1  61.3;653.;200;59.
-45.7 358.6;675.;200;61.
20.  104.6;26.;491;61.
-11.3  84.8;255.;256;62.
-1.4  52.;36.93;415;62.
22.  235.6;20.37;484;63.
-71.9  27.5;701.;200;64.
-26.  145.5;207.;274;66.
-22.3 347.7;6664.;115;66.
31.5 116.5;235.;268;68.
9.6 132.3;242.;265;68.
52.   77.8;116.51;319;69.
18.  303.;4277.;130;69.
-27.6  38.4;764.;200;69.
0.2  13.2;756.;130;70.
-1.8 177.1;304.;253;71.
30.4 161.3;633.;211;71.
31.9  34.7;62.89;381;75.
24.1 265.8;1440.;177;80.
-59.  266.5;487.;232;80.
1.7 323.1;334.;200;80.
15.3 136.8;187.;296;81.
19.1  21.1;890.;200;81.
21.5  87.6;243.;281;85.
12.3 134.3;459.;241;87.
-63.3 242.9;975.;200;88.
35.6 137.7;288.;273;91.
18.4 172.3;2134.;167;94.
-40.3 339.1;892.;211;100.
52.  266.;90.;375;100.
37.8 260.4;630.;227;100.
-35.1 242.2;44.89;446;101.
56.5  65.5;100.35;366;102.
-38.5 160.5;10403.;115;103.
30.3 203.8;914.;211;103.
43.2 215.8;994.;211;112.
-49.  236.;3238.;160;120.
49.9 278.6;4845.;145;120.
-41.2 305.4;999.;215;120.
22.9 151.3;7534.;130;122.
32.4 100.5;777.;230;123.
19.5 131.5;516.;256;125.
-40.8 325.6;414.;200;128.
6.5  97.7;592.;249;129.
30.6 278.7;8228.;129;130.
-14.9 294.6;675.;241;130.
59.3 118.3;424.;272;132.
-38.2 162.6;1462.;200;133.
0.3   2.2;605.;255;145.
15.3   4.7;3062.;170;145.
-13.3  23.4;692.;247;145.
10.3 106.7;3303.;167;145.
-58.3 292.9;34.84;523;148.
-1.7 154.2;3481.;166;150.
-52.3 193.7;537.;265;153.
11.5 156.2;502.;272;156.
12.2 242.3;362.;297;160.
-31.4   6.;950.;234;160.
5.5  23.3;3062.;170;160.
-38.4 290.7;492.;273;160.
-32.9 303.8;2510.;183;160.
-28.4 319.2;1;1;161.
-35.6 199.7;921.;236;162.
-18.6 161.6;5339.;152;162.
16.6 124.3;1020.;230;163.
-50.   48.1;1;1;164.
-18.1  24.;98.42;417;168.
18.7 117.3;465.;283;170.
-48.4 266.6;1699.;205;170.
-1.1 217.4;1126.;227;171.
-4.6  39.;45.;515;179.
-8.5 325.;1957.;201;180.
-16.5 305.4;222.;346;180.
21.5 151.4;1611.;211;181.
51.6  84.4;56.87;488;183.
10.8 337.8;1128.;233;189.
14.1 150.8;730.;262;195.
-22.9 166.7;355.;316;201.
43.5 191.;395.;309;204.
-42.2 174.7;600.;281;211.
-9.5 316.;682.;200;212.
-35.9  22.5;695.;272;216.
-15.3  99.;476.;300;220.
-45.8 141.5;1;1;230.
45.4 337.3;2063.;211;232.
-18.8 140.4;789.;272;245.
-57.  310.9;2138.;200;250.
83.4  91.1;2253.;211;253.
-51.9 202.5;1149.;250;254.
-49.1  72.1;831.;272;258.
-5.8  98.;1532.;234;261.
-33.4 171.9;27055.;115;268.
-50.6 218.2;285.;352;269.
74.8 293.3;6464.;165;270.
-40.   58.4;2468.;211;277.
-18.8 255.6;17.;704;280.
-48.  159.;28581.;115;283.
1.9 289.8;914.;274;290.
22.3 146.;902.;275;291.
-45.   52.6;18023.;130;292.
68.5 249.8;6757.;170;320.
23.7 176.1;16645.;136;321.
-2.1 129.9;78.95;540;381.
P.)   44.7  91.9;650.;320;392.
-34.4 108.8;1291.;272;401.
-39.  101.5;2154.;242;418.
3.4  76.2;1367.;272;424.
-48.4 310.;1383.;272;429.
-3.3 119.9;3916.;210;432.
-39.8 271.6;4914.;199;436.
32.2 207.;31100.;126;444.
29.9 208.5;1862.;255;444.
60.  213.;18262.;144;445.
45.  212.;37250.;121;453.
40.7 133.8;64.;600;470.
22.4 350.2;1552.;200;482.
-40.7 287.2;1598.;273;500.
-18.   33.6;195.;467;527.
-83.   73.;1401.;286;531.
-34.5 129.3;1611.;277;535.
40.3 206.3;35258.;130;571.
24.  115.2;25400.;142;583.
37.5 119.;2948.;246;609.
-9.9  63.9;2146.;272;666.
28.4 327.6;2370.;200;736.
-53.7 101.6;3161.;255;759.
63.5 127.5;2520.;272;782.
38.1 306.5;4558.;243;905.
-52.2 342.2;3003.;200;932.
40.1  74.5;3977.;272;1234.
16.2  90.3;4189.;272;1300.
-28.8 210.4;3600.;286;1356.
19.5 274.3;860.;414;1430.
-10.5 241.5;5600.;262;1500.
-3.8  78.8;5103.;272;1584.
-13.3 235.6;620.;479;1850.
55.1 301.5;8783.;301;4070.
12.8 308.4;21500.;298;9600.
